variable_id,output_frequency,shape,priority,dimension,file_size_MB,experiment_id
alpha,monthly,XYT,3,2D,50.5,ancillary
alpha,monthly,XYT,3,2D,50.2,ancillary
alpha,monthly,XYT,3,2D,50.2,ancillary
alpha,monthly,XYT,3,2D,50.5,ancillary
area,NA,NA,NA,NA,0,ancillary
Area_tot_native,NA,NA,NA,NA,0,ancillary
Atm_CO2,NA,NA,NA,NA,0,ancillary
chlos,monthly,XYT,1,2D,61.6,ancillary
chlos,monthly,XYT,1,2D,61.2,ancillary
chlos,monthly,XYT,1,2D,61.2,ancillary
chlos,monthly,XYT,1,2D,61.6,ancillary
dfeos,monthly,XYT,2,2D,60.9,ancillary
dfeos,monthly,XYT,2,2D,60.8,ancillary
dfeos,monthly,XYT,2,2D,60.8,ancillary
dfeos,monthly,XYT,2,2D,60.9,ancillary
dissic,annual,XYZT,1,3D,182.9,ancillary
dissic,annual,XYZT,1,3D,183.6,ancillary
dissic,annual,XYZT,1,3D,181.4,ancillary
dissic,annual,XYZT,1,3D,185.2,ancillary
dissicos,monthly,XYT,1,2D,46.9,ancillary
dissicos,monthly,XYT,1,2D,47,ancillary
dissicos,monthly,XYT,1,2D,46.5,ancillary
dissicos,monthly,XYT,1,2D,47.3,ancillary
epc,annual,XYZT,1,3D,246.9,ancillary
epc,annual,XYZT,1,3D,245.7,ancillary
epc,annual,XYZT,1,3D,245.7,ancillary
epc,annual,XYZT,1,3D,246.9,ancillary
epc100,monthly,XYT,1,2D,58.7,ancillary
epc100,monthly,XYT,1,2D,58.5,ancillary
epc100,monthly,XYT,1,2D,58.5,ancillary
epc100,monthly,XYT,1,2D,58.7,ancillary
epc1000,monthly,XYT,2,2D,53.1,ancillary
epc1000,monthly,XYT,2,2D,52.7,ancillary
epc1000,monthly,XYT,2,2D,52.7,ancillary
epc1000,monthly,XYT,2,2D,53.1,ancillary
epc1000hard,monthly,XYT,2,2D,53.6,ancillary
epc1000hard,monthly,XYT,2,2D,53.3,ancillary
epc1000hard,monthly,XYT,2,2D,53.3,ancillary
epc1000hard,monthly,XYT,2,2D,53.6,ancillary
epc1000soft,monthly,XYT,2,2D,53.1,ancillary
epc1000soft,monthly,XYT,2,2D,52.6,ancillary
epc1000soft,monthly,XYT,2,2D,52.6,ancillary
epc1000soft,monthly,XYT,2,2D,53.1,ancillary
epc100hard,monthly,XYT,2,2D,59.4,ancillary
epc100hard,monthly,XYT,2,2D,59.2,ancillary
epc100hard,monthly,XYT,2,2D,59.2,ancillary
epc100hard,monthly,XYT,2,2D,59.4,ancillary
epc100soft,monthly,XYT,2,2D,58.7,ancillary
epc100soft,monthly,XYT,2,2D,58.3,ancillary
epc100soft,monthly,XYT,2,2D,58.3,ancillary
epc100soft,monthly,XYT,2,2D,58.7,ancillary
epcalc100,monthly,XYT,1,2D,59.5,ancillary
epcalc100,monthly,XYT,1,2D,59.4,ancillary
epcalc100,monthly,XYT,1,2D,59.4,ancillary
epcalc100,monthly,XYT,1,2D,59.5,ancillary
fgco2,monthly,XYT,1,2D,64.9,ancillary
fgco2,monthly,XYT,1,2D,64.5,ancillary
fgco2,monthly,XYT,1,2D,64.6,ancillary
fgco2,monthly,XYT,1,2D,64.8,ancillary
fgco2_glob,monthly,T,1,2D,0,ancillary
fgco2_glob,monthly,T,1,2D,0,ancillary
fgco2_glob,monthly,T,1,2D,0,ancillary
fgco2_glob,monthly,T,1,2D,0,ancillary
fgco2_reg,monthly,iT,1,2D,0,ancillary
fgco2_reg,monthly,iT,1,2D,0,ancillary
fgco2_reg,monthly,iT,1,2D,0,ancillary
fgco2_reg,monthly,iT,1,2D,0,ancillary
fice,monthly,XYT,1,2D,17.2,ancillary
fice,monthly,XYT,1,2D,17.2,ancillary
fice,monthly,XYT,1,2D,17.2,ancillary
fice,monthly,XYT,1,2D,17.2,ancillary
intdiac,monthly,XYT,2,2D,60.7,ancillary
intdiac,monthly,XYT,2,2D,60.3,ancillary
intdiac,monthly,XYT,2,2D,60.3,ancillary
intdiac,monthly,XYT,2,2D,60.7,ancillary
intphyc,monthly,XYT,1,2D,59.4,ancillary
intphyc,monthly,XYT,1,2D,58.8,ancillary
intphyc,monthly,XYT,1,2D,58.8,ancillary
intphyc,monthly,XYT,1,2D,59.4,ancillary
intphynd,monthly,XYT,2,2D,60.4,ancillary
intphynd,monthly,XYT,2,2D,59.9,ancillary
intphynd,monthly,XYT,2,2D,59.9,ancillary
intphynd,monthly,XYT,2,2D,60.4,ancillary
intpp,monthly,XYT,1,2D,59.6,ancillary
intpp,monthly,XYT,1,2D,60.2,ancillary
intpp,monthly,XYT,1,2D,60.2,ancillary
intpp,monthly,XYT,1,2D,59.6,ancillary
intzooc,monthly,XYT,1,2D,59,ancillary
intzooc,monthly,XYT,1,2D,58.6,ancillary
intzooc,monthly,XYT,1,2D,58.6,ancillary
intzooc,monthly,XYT,1,2D,59,ancillary
Kw,monthly,XYT,2,2D,61.1,ancillary
Kw,monthly,XYT,2,2D,60.9,ancillary
Kw,monthly,XYT,2,2D,60.9,ancillary
Kw,monthly,XYT,2,2D,61.1,ancillary
mask_sfc,NA,NA,NA,NA,0,ancillary
mask_vol,NA,NA,NA,NA,0.4,ancillary
mld,monthly,XYT,1,2D,59.7,ancillary
mld,monthly,XYT,1,2D,59.2,ancillary
mld,monthly,XYT,1,2D,59.2,ancillary
mld,monthly,XYT,1,2D,59.7,ancillary
no3,annual,XYZT,2,3D,224.2,ancillary
no3,annual,XYZT,2,3D,223.5,ancillary
no3,annual,XYZT,2,3D,223.5,ancillary
no3,annual,XYZT,2,3D,224.2,ancillary
no3os,monthly,XYT,2,2D,60.1,ancillary
no3os,monthly,XYT,2,2D,59,ancillary
no3os,monthly,XYT,2,2D,59,ancillary
no3os,monthly,XYT,2,2D,60,ancillary
o2,annual,XYZT,2,3D,219.8,ancillary
o2,annual,XYZT,2,3D,218.6,ancillary
o2,annual,XYZT,2,3D,218.6,ancillary
o2,annual,XYZT,2,3D,219.8,ancillary
o2os,monthly,XYT,2,2D,50.3,ancillary
o2os,monthly,XYT,2,2D,50.2,ancillary
o2os,monthly,XYT,2,2D,50.2,ancillary
o2os,monthly,XYT,2,2D,50.3,ancillary
pco2atm,monthly,XYT,2,2D,43.1,ancillary
pco2atm,monthly,XYT,2,2D,40.9,ancillary
pco2atm,monthly,XYT,2,2D,41.9,ancillary
pco2atm,monthly,XYT,2,2D,42.1,ancillary
po4,annual,XYZT,2,3D,224.3,ancillary
po4,annual,XYZT,2,3D,223.5,ancillary
po4,annual,XYZT,2,3D,223.5,ancillary
po4,annual,XYZT,2,3D,224.3,ancillary
po4os,monthly,XYT,2,2D,59,ancillary
po4os,monthly,XYT,2,2D,58.6,ancillary
po4os,monthly,XYT,2,2D,58.6,ancillary
po4os,monthly,XYT,2,2D,58.9,ancillary
si,annual,XYZT,2,3D,229.4,ancillary
si,annual,XYZT,2,3D,228.2,ancillary
si,annual,XYZT,2,3D,228.2,ancillary
si,annual,XYZT,2,3D,229.4,ancillary
sios,monthly,XYT,2,2D,58.2,ancillary
sios,monthly,XYT,2,2D,58,ancillary
sios,monthly,XYT,2,2D,58,ancillary
sios,monthly,XYT,2,2D,58.2,ancillary
so,annual,XYZT,1,3D,170.5,ancillary
so,annual,XYZT,1,3D,169.2,ancillary
so,annual,XYZT,1,3D,169.2,ancillary
so,annual,XYZT,1,3D,170.5,ancillary
sos,monthly,XYT,1,2D,47,ancillary
sos,monthly,XYT,1,2D,46.7,ancillary
sos,monthly,XYT,1,2D,46.7,ancillary
sos,monthly,XYT,1,2D,47,ancillary
spco2,monthly,XYT,1,2D,51.1,ancillary
spco2,monthly,XYT,1,2D,51,ancillary
spco2,monthly,XYT,1,2D,51,ancillary
spco2,monthly,XYT,1,2D,51.2,ancillary
talk,annual,XYZT,1,3D,175.8,ancillary
talk,annual,XYZT,1,3D,174.3,ancillary
talk,annual,XYZT,1,3D,174.3,ancillary
talk,annual,XYZT,1,3D,175.8,ancillary
talkos,monthly,XYT,1,2D,46.2,ancillary
talkos,monthly,XYT,1,2D,45.9,ancillary
talkos,monthly,XYT,1,2D,45.9,ancillary
talkos,monthly,XYT,1,2D,46.2,ancillary
thetao,annual,XYZT,1,3D,231.9,ancillary
thetao,annual,XYZT,1,3D,229.6,ancillary
thetao,annual,XYZT,1,3D,229.6,ancillary
thetao,annual,XYZT,1,3D,231.9,ancillary
tos,monthly,XYT,1,2D,54.8,ancillary
tos,monthly,XYT,1,2D,54.4,ancillary
tos,monthly,XYT,1,2D,54.4,ancillary
tos,monthly,XYT,1,2D,54.8,ancillary
Vol_tot_native,NA,NA,NA,NA,0,ancillary
volume,NA,NA,NA,NA,0.2,ancillary
zeu,monthly,XYT,1,2D,6.6,ancillary
zeu,monthly,XYT,1,2D,6.6,ancillary
zeu,monthly,XYT,1,2D,6.6,ancillary
zeu,monthly,XYT,1,2D,6.6,ancillary
